nom;categorie;description;image;fichier_source
Parcours historique;Culture et patrimoine;Les vestiges du rempart, la halle, l'ancien prieuré, la rue basse et les ruelles étroites sont d'autant éléments hérités du Moyen-Age qui structurent encore fortement le village et lui confère un charme particulier. Parcours avec panneau explicatif.;;0/00/13-001dfd8e-f5ba-3b99-b7c9-bc192eb63b78.json
Hôtel Le Relais Nordique;Hébergement;Hôtel de montagne entièrement rénové : de la chambre single à la suite familiale de 6 places. Lieu idéal pour étape et séjour en famille ou groupe. Chambres spacieuses de 18 à 40m² entièrement équipée : WIFI, TV, salle de bains et Wc séparés.;;0/00/13-001e0197-5210-3cee-940f-f99052b9aa22.json
Format Vertical;Autres points d'intérêt;Thomas est passionné par la beauté et les mystères que nous offre notre planète. Partez à l'aventure, sur les traces enfouies de notre passé.;;0/00/13-001e5943-153a-3c23-805b-32b1a7317a2b.json
Médiathèque Alexandre Varenne;Culture et patrimoine;La Médiathèque de Puy-Guillaume vous propose de partager vos coups de cœur et grâce à son club 'lecture'. Retrouvez aussi les bébés-lecteurs, animation spécialement conçue pour les enfants de 0 à 3 ans.;;0/00/13-0021cf13-77fe-301a-9913-cc65d054eb04.json
Bibliothèque;Culture et patrimoine;La bibliothèque de Chambles propose le prêt de livres en lien avec internet, des animations notamment avant les vacances de noel autour de veillées lecture avec le foyer rural ainsi qu'un bibliobus.;;0/00/13-0023d763-54c9-32b4-a75d-975e388d1a8c.json
Cinéma l'Oron;Culture et patrimoine;Le cinéma L'Oron, équipé de projecteurs numériques et de la 3D, est composé de 2 salles de projection ainsi que d'une salle de rencontres culturelles. Il propose des sorties nationales ainsi que des films en avant-première.;;0/00/13-0028527a-2a67-3823-ae35-2f425767de00.json
Gîte d'étape - Le Patio;Hébergement;Bienvenue au Patio, lieu cosy et tendance, en centre ville d'Yssingeaux ! Immeuble entièrement rénové, où se lovent 7 chambres grand confort toutes avec sanitaires privatifs. Adresse idéale pour des séjours en famille, entre amis ou en solo.;;0/00/13-002be441-df7a-3a75-b865-643016ec5d5f.json
La Ravioline;Autres points d'intérêt;Restaurant familial de spécialités régionales, Alexandre a la cuisine à cœur de vous proposer des plats originaux élaborés avec des produits locaux.;;0/00/13-002c2ae8-ef9d-3bf3-aa1c-d787e9c0344c.json
Restaurant de l'Ancien Grand Séminaire;Restauration et gastronomie;CUISINE TRADITIONNELLE - CUISINE DE TERROIR AUX PRODUITS FRAIS;;0/00/13-002c9030-68a0-317c-864c-64d915bd00bf.json
La Licorne Victorieuse;Autres points d'intérêt;"En toutes saisons, La Licorne Victorieuse vous propose :
- Rencontres-narrations de Mythes et Légendes...
- Rose Thérapie
- ""Langage"" des Etoiles";;0/00/13-002cfd37-2b4f-3689-b1f0-78dc58e63fc5.json
Chez le Père Durdu;Autres points d'intérêt;"Une cuisine soignée et un emplacement idéal au bord du lac ont fait la réputation de cet établissement familial. On vient notamment pour y déguster le fameux ""gratin du lac"" : excellente quenelle de Nantua tranchée.";;0/00/13-002cfd45-1acf-3e03-9b87-2d0d6a7c82d7.json
Le Rocher du Glaisy;Autres points d'intérêt;Un site d'escalade apprécié des grimpeurs tout niveau, avec pas moins de 230 voies sécurisées ! La falaise est accessible depuis le camping du Glaisy et le spot offre un panorama incroyable au coeur de la nature.;;0/00/13-002e63c0-44da-3980-b015-038e827459d3.json
Spectacle - La petite fille de Monsieur Linh;Spectacles et événements;Venez écouter l'histoire de Monsieur Linh... A partir de 12 ans.  Organisé dans le cadre des Biblis en folie.;;0/00/13-002e7a65-baae-35b3-8c10-159113de963b.json
Circuit Autour de la Vallée de Brezons;Nature et détente;Circuit en voiture de 3h et 64 km autour d'une de plus belles vallées glaciaires en auge d'Europe.;;0/00/13-002ef8d2-a822-3954-aa20-2ee8b7c7c20b.json
Basilique Notre-Dame;Culture et patrimoine;La basilique Notre-Dame fut construite dans les années 1934-1935 dans le style Art déco, dans le centre, pour mieux desservir la population à cette époque de développement de la ville.;;0/00/13-003206b3-a1de-3da7-ae2e-6abbf28c345d.json
Château du Chassan;Culture et patrimoine;"Un ensemble architectural classique des XIVe et XVIIIe siècles avec un corps de logis flanqué de deux ailes encadrant une cour d’honneur. Des jardins à la Française. 
Une halte de visite dans les Gorges de la Truyère, à 5 mn du viaduc de Garabit.";;0/00/13-003634f9-c91e-3e54-8f45-edb49bf0dec2.json
Bar - Café - Le Français;Restauration et gastronomie;Le Français vous propose une sélection de tapas, café et cocktails.;;0/00/13-00367d59-b93d-31b2-bd83-4978c87ff5da.json
Place Grenette;Autres points d'intérêt;Comme dans de nombreuses villes, la place Grenette doit son nom aux grains qu’on y échangeait lors du marché hebdomadaire, des halles s’y dressèrent un temps. Cette place a retrouvé en 1978 le nom qui lui était attribué au XVIII° siècle.;;0/00/13-0036d273-c60e-3971-b0e3-e436bfc3b6ec.json
Red Chauffage;Autres points d'intérêt;Ramonage, Entretien, Dépannage Chaudières toutes marques, plomberie, électricité, Nettoyage des circuits chauffants (radiateurs et planchers chauffants);;0/00/13-0037d7f7-b092-3903-add3-8b7cc7626c2a.json
Tour de la Grande Casse - Rando pédestre 5 jours;Autres points d'intérêt;Cet itinéraire est l'occasion d'une belle immersion au cœur du Parc national de la Vanoise. il vous permettra de faire le tour de la Grande Casse, plus haut sommet de Savoie (3855 m), dans un cadre idyllique au milieu des marmottes et des bouquetins.;;0/00/13-003a2f53-3f04-3b42-a4bd-d803277b36ec.json
Mini-golf;Sports et activités outdoor;"Parcours mini-golf situé dans un cadre de verdure à proximité du parc thermal.
Venez profiter d'un moment convivial en famille ou entre amis.";;0/00/13-003d2430-185b-3c21-b2eb-c5c5553d116e.json
Médiathèque de  Vézeronce-Curtin;Culture et patrimoine;"Prêt de livres, magazines, CD, DVD. Accès internet et impressions.
La médiathèque est accessible aux habitants de tous les villages alentours.";;0/00/13-003d6db8-c846-35fa-b9f8-540177fd3a56.json
Piste de Skate Board de Vic sur Cère;Autres points d'intérêt;Dans le parc de loisirs de Vic sur Cère, située près du gymnase, une piste de skate board , de roller et une piste de BMX sont à la disposition des adeptes de ce sport. L'accès est libre tout au long de l'année.;;0/00/13-003f9277-58df-39a0-a4ea-4822979f7364.json
La Chèvre qui Saourit;Autres points d'intérêt;Cette ancienne étable vous accueille à la ferme dans une chambre collective jusqu'à 6 couchages avec accès cuisine. Accueil de cavaliers, Vttétistes, randonneurs, familles... Adhérent  accueil paysan.;;0/00/13-003f9c2f-b3c0-305e-928b-289aed99077e.json
Balicina - Spa & Balnéo;Autres points d'intérêt;L’expérience Balicina… Venez prendre une pause dans ce refuge urbain au cadre exceptionnel. Un véritable cocon dédié à votre bien-être grâce aux bienfaits de l’eau et à des soins experts.;;0/00/13-0040af69-3689-3620-adb6-29b5308e5ccf.json
Ma Belle Campagne : Spa & Wellness;Autres points d'intérêt;Ma belle campagne est un complexe dédié au bien-être situé à Saint-Geneys-près-Saint-Paulien, en face au château du Maréchal Fayolle.;;0/00/13-0041ebed-f0a9-3015-81b2-a2ee3c26db89.json
Les Sarmentelles de Beaujeu;Autres points d'intérêt;Les Sarmentelles de Beaujeu : la véritable fête du Beaujolais Nouveau reste le rendez-vous international en l’honneur de la mise en consommation du beaujolais primeur mais c’est maintenant cinq jours d’événements !;;0/00/13-004383c2-9400-3b65-9fb8-659758e83ec9.json
Boucle du Dou du Praz;Autres points d'intérêt;Le plateau du Dou du Praz, situé à 2140 m. d’altitude, vous offrira une vue imprenable sur le Mont Blanc et à 360°C sur les montagnes alentour (Pierra Menta, Mont Saint Jacques, etc).;;0/00/13-00464817-24f2-3796-a2b6-30ef4e3218e6.json
Les Remparts;Autres points d'intérêt;Surplombant la vallée de la Maronne, l'établissement fait face au plus vaste volcan d'Europe depuis maintenant 3 générations. Il est doté de 15 chambres spacieuses, une cuisine régionale soignée, un spa, une terrasse panoramique ouverte sur la campagne.;;0/00/13-0046ff5c-bdc2-3e44-9a60-669c01994ad9.json
Aux Creux des Pierres;Autres points d'intérêt;"Découvrez cette auberge pour un séjour hors du temps.
Niché sur les hauteurs yssingelaises, cet ancien corps de ferme vous offre une vue imprenable sur le Meygal et les sucs alentours, dans un environnement calme et propice à la détente.";;0/00/13-0049febb-eeda-3a57-9f2d-34b15373cd90.json
"Sentier thématique ""A fleur de coteau""";Nature et détente;"Un des 5 nouveaux sentiers thématiques de ""L’aventure climatique"" valorisant le patrimoine naturel de la vallée par un concept itinérant, ludique et pédagogique.";;0/00/13-004ece1f-739d-3abc-b05a-eaa661ba6a9d.json
Eglise de Mépieu;Culture et patrimoine;"L'église actuelle date de 1854, d'après les plans des architectes Riondet et Calloud.
Le bâtiment est de style néo-gothique. 
Les vitraux sur lesquels sont représentés le Christ, la Vierge et les 12 Apôtres ont été réalisés en 1856 par Moullot.";;0/00/13-004f09c6-0a4b-3d60-a7aa-bb411c9bb127.json
Evasion dans le Bocage - En vélo à assistance électrique ou non;Sports et activités outdoor;Evadez-vous en vélo électrique ou sans assistance!;;0/00/13-004f3d18-a986-3de7-99a4-0fdaa1c0c558.json
Itinéraire Cimgo / FTT - La Rosière - Samoëns;Autres points d'intérêt;Itinéraire de découverte de la vallée du giffre et des hameaux de Samoens.;;0/00/13-004fce5e-3ae0-3d77-bdea-7e177dc2b509.json
L'Atelier Les Pages Libres;Autres points d'intérêt;L'Atelier Les Pages Libres est une librairie-jeux-café, un lieu de rencontre. L'Atelier propose également des visites et activités de découverte des légendes et de la vie traditionnelle des Entremonts (pour groupes et scolaires).;;0/00/13-00540e7e-9caf-3ce6-a36a-0b4c3610554d.json
Gîte de groupe et d'étape de Saint Pancrasse;Hébergement;A_GENERER_VIA_IA;;0/00/13-00552fae-0ed8-354c-993b-7b2b88869d40.json
Tour du Chastelas;Autres points d'intérêt;Ce court circuit familial au départ de la Bâtie fait le tour du Chastelas, la motte de La Bâtie et emprunte la paisible voie verte du Jabron.;;0/00/13-0055574f-ec33-3876-a1ca-740aa492915e.json
Eglise St Etienne;Culture et patrimoine;Office religieux le samedi soir ou le dimanche matin.;;0/00/13-00574530-cf36-3c2f-82ee-5dcd662bd618.json
Golf Club du Vercors;Sports et activités outdoor;"Dans un cadre somptueux, niché en plein cœur du Vercors, découvrez ce parcours 9 trous surprenant par son rythme de jeu, ses deux pars 5 et ses paysages à couper le souffle ! Sur place, practice, académie de golf et bar restaurant le ""9"".";;0/00/13-005ae356-8f99-31c8-8fab-090f7fb49ec6.json
Crêperie paysanne La Ronde des champs;Restauration et gastronomie;"Tous les vendredis soirs du 11 juillet au 22 août 2025, sur le ""Super Petit Marché estival"" au cœur du village médiéval de Chalencon, le chef-paysan vous propose une cuisine créative à base de produits cultivés dans ses jardins (agriculture biologique).";;0/00/13-005d4879-2b90-309a-9a54-fc7230a7c0e6.json
Le Quai - Halte fluviale;Autres points d'intérêt;"Halte nautique réservée aux bateaux de croisière. 
Celle-ci permettra aux croisiéristes de débarquer le temps d'une visite culturelle, touristique, gastronomique sur la ville de Valence et sa région.";;0/00/13-005eb15c-2df3-3a78-9818-dd31ffd99794.json
Ski sur les pentes du Grand Serre par le téléski des Cloutons;Sports et activités outdoor;Sur le domaine skiable, la glisse du côté du téléski des Cloutons offre une vue imprenable sur les monts environnants et les lacs de Laffrey, de l'autre côté du Grand Serre. On profite de l'instant pour se repérer dans l'espace et admirer ce spectacle !;;0/00/13-005f51a5-4f42-3480-b490-2936bc0f1f16.json
Restaurant La Chaumière;Restauration et gastronomie;"Le restaurant ""La Chaumière"" situé au coeur du bocage Bourbonnais vous proposant une cuisine traditionnelle dans un cadre chaleureux et convivial.
Accueil de groupes, repas de famille, baptême, anniversaire...";;0/00/13-00625a60-5672-3cde-872c-a99ada18b8a1.json
Tir Sportif - La Roche;Autres points d'intérêt;Tirs, stages d'initiation, cours;;0/00/13-0064cefa-bbc9-3364-8af6-b27a5a77fc3e.json
Comfort Hotel Grenoble Meylan;Hébergement;Vous serez accueillis par une équipe jeune et dynamique dans ce petit hôtel de caractère, proche des pistes de Chamrousse et des 7 Laux, idéalement situé dans une zone d'activité aux portes de Grenoble.;;0/00/13-00670351-72fc-3864-88ff-7c6317ed88c9.json
The Hub Les Gets - Netski.com;Autres points d'intérêt;"""The Hub Les Gets"" est un magasin de location de skis, snowboard et VTT, au centre des Gets, avec un accès ski in and out, tout proche de la patinoire et de l'ESF.";;0/00/13-006b0b31-3514-3975-973d-11e9d29805db.json
Les 9 Névés;Autres points d'intérêt;Benoit et Cindy vous invitent à découvrir une cuisine raffinée, où tout est préparé maison à partir de produits bruts, de saison et soigneusement sélectionnés auprès de producteurs régionaux.;;0/00/13-006c6ad8-a7e5-37b2-90ba-ee0bafb0c6ef.json
Poulette;Autres points d'intérêt;Fast good de produits frais et locaux. Burgers Gourmets, Frites fraîches, viandes grillées au barbecue  et desserts gourmands.;;0/00/13-006ce4b5-39e8-3259-85e1-6bc3a5fedadf.json
Bar glacier Le Kiosque;Restauration et gastronomie;Dès les beaux jours et pendant les 3 mois d'été, la terrasse ne désemplit pas. Confortablement installé au bord du lac de Nantua, la tentation est grande : boissons fraîches, glaces délicieuses ou gaufres moelleuses ...  Egalement location de pédal'eau.;;0/00/13-006d0d43-0615-3b33-9b73-5f4f41e425bc.json
Thierry Ballay;Autres points d'intérêt;Thierry Ballay, accompagnateur en montagne vous accompagne pour une demi-journée de randonnée raquettes ou pour une journée complète afin de découvrir un autre visage du Massif Cantalien.;;0/00/13-006d5424-2c7b-3d90-a753-efa9d7596c15.json
L'atelier Rongefer;Autres points d'intérêt;Au cœur d'une ancienne usine textile rénovée dans un esprit contemporain, Fabien et Carine Gauthier vous proposent une cuisine de passion, raffinée et renouvelée au fil des saisons.;;0/00/13-006de99f-fe95-36e5-b39c-7c130687d860.json
Eglise Notre-Dame;Culture et patrimoine;Edifice de premier art roman. La partie mieux conservée reste le cœur qui comprend un transept et 3 absides semi-circulaires.;;0/00/13-0071bc5d-0bd0-3625-bfb6-65757c7d6a54.json
Red Peppers;Autres points d'intérêt;Red Peppers est l'adresse incontournable des amateurs de restauration rapide. Sandwichs américains, pizzas, roulées, hot-dog, paninis,  frites, desserts, pâtes...;;0/00/13-0073663f-288b-33c1-aa1a-8d8cd2c9cf31.json
Espace balnéothérapie;Autres points d'intérêt;Aqualude, située en plein cœur du jardin d’Allard, propose la balnéothérapie, douche multi jets, hammam, sauna et jacuzzi.;;0/00/13-007421ff-5625-3185-828e-c0a9008f5353.json
Morel - PR n°27;Autres points d'intérêt;Au départ du bourg, cette randonnée vous emmène à la découverte de quelques-uns des nombreux hameaux d'Arfeuilles.;;0/00/13-00770edc-ee9e-3f3e-b2a1-d5263e527014.json
Fête aux Plantes Rares;Spectacles et événements;"Une quarantaine de producteurs de la région, viendront présenter leurs collections.
Stands : petite restauration, glaces, librairie, Fleurs et Fontaines...";;0/00/13-007862bc-a659-3661-a7fc-b720a4085fbe.json
Salle de réunion des 5 éléments;Autres points d'intérêt;Nous vous proposons un espace de travail original et accueillant au coeur de nos gîtes, près du château des Allues. Un lieu cosy et apaisant, hors des sentiers battus.;;0/00/13-007ab5a2-5a6f-3c0b-b7ab-0667b71a99b8.json
Les Petits Siamois;Autres points d'intérêt;Ce restaurant vous propose, dans un cadre moderne, lounge et cosy une cuisine saine et raffinée : la cuisine thaïlandaise. Le chef vous propose tous les midis un menu du jour et une carte de saison le soir pour vous garantir fraicheur et authenticité.;;0/00/13-007b4259-ef30-3453-b892-aa02211e3332.json
Les monts d'Ain - Parcours de trail n°3;Sports et activités outdoor;Situé sur le flanc sud de la montagne de Nantua, accédez au panorama des Monts d’Ain par un petit sentier en single avec un premier point de vue des « Doigts du diable ». Au sommet vue sur Nantua, sur les Neyrolles et son viaduc.;;0/00/13-007c13c3-547e-37fc-ba21-11b8ae750036.json
Diane Segard - Parades;Autres points d'intérêt;Comment monter sur scène seule quand on est plus autruche que paon ? Quand on flippe à mort quoi…;;0/00/13-007d589a-aa75-3f62-9903-5eac934b538c.json
Le fournil de Tara;Autres points d'intérêt;A_GENERER_VIA_IA;;0/00/13-0080665e-e1a7-30dc-bc97-cb0e5ebf08a8.json
Camping le Château;Hébergement;Un camping à taille humaine idéal pour vos vacances, à 200 m du Palais Idéal et des commerces. Une ambiance nature, calme et familiale, dans un cadre historique et préservé. Mini club et animations en juillet/août. Sur place : snack-bar l'AuthentiK.;;0/00/13-0081452b-4365-3b3b-a148-11a88531895c.json
Le Grenier à sel;Autres points d'intérêt;Au coeur de la ville vieille, qui s'étendait au pied du château sans dépasser la Chalaronne, le Grenier à sel, soutenu par de vieux pilliers de bois, est la bâtisse la plus ancienne de la cité médiévale. Certaines de ses poutres ont été datées de 1386.;;0/00/13-008425a8-2a6f-3bd5-a276-3c5fac9c46e7.json
Galerie de l'Oscambre;Culture et patrimoine;Cette galerie associative d'artistes et artisans propose des expositions de mai à septembre. Chaque exposition mensuelle regroupe plusieurs exposants : peinture, sculpture, céramique, arts du fil, photographie et bien d'autres à découvrir.;;0/00/13-00852c3e-a5f0-3689-8318-67a239a87e2c.json
La ferme de Jonan : Le Coiro - 5 pers;Autres points d'intérêt;Entre lacs et montagnes, sur un site arboré, fleuri et préservé, Le Jonan, ferme traditionnelle en pierre, entièrement rénovée et aménagée en 2 gîtes mitoyens.;;0/00/13-0085a5b6-2f8f-32dc-ac49-ca0de52c0b13.json
Camping Municipal « La Ferme de Mathias »;Hébergement;"Entre rivière et  forêt, le camping de Fay-sur-Lignon vous offre un terrain idéal de pleine nature partiellement ombragé. Les commerces sont accessibles à quelques minutes à pied.
Le camping est ouvert de mi juin à mi septembre.";;0/00/13-00860d21-1f55-3860-a66f-58e0062e22d1.json
Paintball Nature;Sports et activités outdoor;Sur un site en plein air de 10 000 m2, venez exercer vos talents de sniper dans une ambiance conviviale et ludique en famille, entre amis ou pour vos sorties d'entreprise.;;0/00/13-0086acd9-cef5-3958-932d-3f9259680d18.json
Gentianes - Les Gites du Chalet;Hébergement;Gentianes, gîte au 1er étage, proche du centre d'Autrans, avec séjour-cuisine, coin salon, 1 Chambre, salle d'eau-WC, chauffage central.;;0/00/13-0086c8f7-7160-335d-9f73-76cc518afdaa.json
Château de Montaiguët-en-Forez;Culture et patrimoine;Visite libre des extérieurs. Ce château XVe est un petit château fort martial d'aspect imposant.;;0/00/13-0087a75f-7bc5-3375-a252-60da05a042c5.json
L'Embellie;Autres points d'intérêt;Pizzeria;;0/00/13-008a38ab-a200-3644-af71-ba97f353f85a.json
Déambulations contemplatives en vallée du Giffre;Autres points d'intérêt;Cet itinéraire de 115 km démarre à Mieussy et vous mènera jusqu'à Sixt Fer à Cheval. Au programme 2 cols pour des panoramas grand format, 2 gorges, plusieurs lacs, des cascades et le fabuleux cirque du Fer à Cheval qui ne laissera personne de marbre.;;0/00/13-008b1444-9c2f-3543-b156-04afa6d0ce0a.json
Vichy Résidencia;Autres points d'intérêt;Découvrez VICHY RESIDENCIA, une résidence services élégante et pratique, conçue pour offrir une expérience de séjour exceptionnelle à Vichy. Parfait pour les visiteurs cherchant confort et commodité.;;0/00/13-008b8310-8ff1-333f-92c1-cc5e90bf25a2.json
Aerodrome Ruoms Labeaume;Autres points d'intérêt;Prenez l'air avec les avions de aéro-club de l'Ardèche : Survol des gorges de l'Ardèche en avion et Ecole de Pilotage Avion.;;0/00/13-008d4c52-bfdf-3c60-93f9-c888db7656e2.json
Canisites de Nantua;Autres points d'intérêt;La mairie de Nantua met à disposition des distributeurs de cani-sacs pour les chiens et leurs maîtres.;;0/00/13-008e69ac-6bb5-344f-ad73-345e6c03550d.json
Le Skate Park;Autres points d'intérêt;Planchodrome dédié à la pratique du skateboard, le roller et la trottinette, il se décompose en 4 modules indépendant pouvant fonctionner ensemble suivant la pratique souhaitée.;;0/00/13-008f38bf-61d3-3756-9f4a-680c9e323496.json
Restaurant Opaline;Restauration et gastronomie;"Installé à la Croix-Rousse, l’ancien Chef Fabrice Roche du restaurant étoilé ""Le Juliénas"" à Villefranche-sur-Saône, vous accueille dans le restaurant Opaline où vous pourrez découvrir une cuisine de saison à prix raisonnables.";;0/00/13-0090a5f5-b2b4-33d3-b419-d7a846851898.json
Oliv' & Tomme;Autres points d'intérêt;Olivier propose une épicerie apéritive, lieu atypique où les visiteurs peuvent faire des achats et repartir, mais ils peuvent également choisir quoi boire et quoi manger, s’installer en salle ou en terrasse et profiter d’une expérience inédite.;;0/00/13-0092a82d-3a86-386d-ae37-91b39c6b8d10.json
Annecy Aventure;Autres points d'intérêt;Entre lac, montagnes et vents ascendants, notre maitrise des éléments et nos équipes vous feront vibrer au travers de nos activités ludiques et sportives.;;0/00/13-0092eaf2-0ce7-34e7-8acb-d59c866ea696.json
Piscine municipale;Sports et activités outdoor;"Piscine municipale possédant un bassin de 25 m ainsi qu'un bassin pour les enfants . 
Des cours sont dispensés par des maîtres nageurs.
Une buvette sur place est à la disposition du public.";;0/00/13-0093925b-02df-37d5-acc0-0e075d8664d3.json
Le Spa du Palace;Autres points d'intérêt;"Dévoilant un cadre idyllique au cœur de la nature, le Spa Sothys du Palace de Menthon invite à l’évasion. 
Niché dans des jardins paisibles sur les rives du lac d’Annecy, venez vivre une parenthèse de douceur et de détente absolue.";;0/00/13-0095d90f-8986-3574-be61-adcc0aa7af64.json
Marché de Vindry-sur-Turdine;Spectacles et événements;"Petit marché avec producteurs locaux. Situé sur la place de l'eglise à ""Pontcharra-sur-Turdine""";;0/00/13-0097d9f2-0753-32e6-86a3-6c45693562b2.json
L'îloz' - Centre Eau et Nature au Grand Parc Miribel Jonage;Nature et détente;"L'îloz' est un centre eau et nature en plein cœur du Grand Parc Miribel Jonage, sur le parcours du Fleuve Rhône en amont de Lyon.
Profitez des expositions permanentes et temporaires, jardins, animations et spectacles qui vous sont proposés dans ce lieu.";;0/00/13-00993671-116c-3264-baad-9fcc04706426.json
Le Tigrr Princesse;Autres points d'intérêt;Le Tigrr Princesse propose une expérience extraordinaire en plein cœur du domaine skiable de Megève et des pâturages de Demi-Quartier l’été : un lieu chic, confortable, une restauration aux saveurs asiatiques de grande qualité (sushi, vapeurs, grillades…);;0/00/13-009c35b3-c4a6-3ebd-9011-664b55938b87.json
Panorama - Village de Saint-Bonnet de Rochefort;Autres points d'intérêt;Village perché.;;0/00/13-009f6dc9-52b8-304f-813e-1c297774c3b9.json
Télésiège du Morclan;Autres points d'intérêt;Le télésiège 6 places du Morclan se prend à Super-Châtel, à l'arrivée de la télécabine. Son arrivée se situe à 1 970m d'altitude et son panorama est à couper le souffle !;;0/00/13-009f7c6f-d693-36b4-a207-cf0cfa38f53d.json
Le Comptoir de Courtenay - restaurant et bar;Restauration et gastronomie;Une visite rapide pendant votre pause déjeuner avec des plats savoureux faits maison et un service courtois ? Vous êtes au bon endroit. Laissez-vous séduire par les offres du bistrot, vous trouverez toujours de quoi vous satisfaire.;;0/00/13-009fedc3-dff0-3feb-94c7-c218f8837cff.json
Gîte La Petite Ecole La Récré;Hébergement;Après un siècle à accueillir des enfants, la petite école de campagne devient désormais un camp de base pour vos escapades nature en Vercors !;;0/00/13-00a15162-1991-3b7d-8371-67626227b363.json
LM La pizza;Autres points d'intérêt;"Pizzas cuites au feu de bois dans le camion. Carte et pizza ""spéciale de la semaine"".";;0/00/13-00a234e8-79fa-3a58-b39f-675536839d4c.json
Village | Mazeyrat-d'Allier;Autres points d'intérêt;A Mazeyrat-d'Allier : Église du XIVe siècle, remaniée au XVIe siècle. Fenêtre trilobée, décors peints. Château du Chassagnon (privé). Château du Cluzel (privé).;;0/00/13-00a2baef-0422-3397-9f2f-5ce9a62347fa.json
Marché hebdomadaire;Spectacles et événements;80 producteurs locaux, marchands et forains vous attendent tous les samedis matins.;;0/00/13-00a548bc-60be-3685-a5b9-236316e83af0.json
Ski de fond itinéraire vert Combloux;Sports et activités outdoor;Très jolis tracés pour le skating ou l’alternatif au milieu d’une nature préservée, face au Mt-Blanc. Profitez de la beauté des paysages tout en skiant et d'une vue imprenable sur les chaînes de montagnes et le Massif du Mt- Blanc.;;0/00/13-00a6f807-1d5c-3c45-b722-f16888a8ef0d.json
